zip,population,race_white,race_black,race_native,race_asian,race_other,race_hispanic
10001,21102,0.554639371,0.075916975,0.001563833,0.166761444,0.004501943,0.172874609
10002,81410,0.200589608,0.064574377,0.001326618,0.463567129,0.001756541,0.253273554
10003,56024,0.714979295,0.031022419,0.001124518,0.143152934,0.003659146,0.080126374
10004,3089,0.658465523,0.027840725,0.001294917,0.211395274,0.00485594,0.061184849
10005,7135,0.653538893,0.032095305,0.000840925,0.206306938,0.005185704,0.07428171
10006,3011,0.646629027,0.044835603,0.000996347,0.19594819,0.001660578,0.082364663
10007,6988,0.674728105,0.059101317,0.000286205,0.124499141,0.005008586,0.10174585
10009,61347,0.498589988,0.077835917,0.001646372,0.134921023,0.003569857,0.260436533
1001,16769,0.916333711,0.01657821,0.001013775,0.020991115,0.001490846,0.033394955
10010,31834,0.680561664,0.052710938,0.00106804,0.143023183,0.00361249,0.094710058
10011,50984,0.731602071,0.038757257,0.001019928,0.087772635,0.003530519,0.114761494
10012,24090,0.705479452,0.021502698,0.000747198,0.164217518,0.003902034,0.079742632
10013,27700,0.523176895,0.035559567,0.000722022,0.360361011,0.003862816,0.053610108
10014,31959,0.831690604,0.018899215,0.000844832,0.058230858,0.003066429,0.063518884
10016,54183,0.693963051,0.036561283,0.000867431,0.165236329,0.003266707,0.081095547
10017,16575,0.704977376,0.029622926,0.000482655,0.175505279,0.0039819,0.065037707
10018,5229,0.474278065,0.063874546,0.00172117,0.255880666,0.002677376,0.180722892
10019,42870,0.603778866,0.046349429,0.001189643,0.16575694,0.003872172,0.156636342
1002,29049,0.738028848,0.044614272,0.001308135,0.1014837,0.003476884,0.078591346
10020,0,0,0,0,0,0,0
10021,43631,0.838921867,0.016593706,0.000550068,0.072563086,0.002589902,0.05374619
10022,31924,0.821388297,0.017197093,0.000563839,0.089243203,0.003163764,0.05415988
10023,60998,0.7636152,0.041378406,0.001049215,0.089035706,0.002491885,0.083724057
10024,59283,0.770895535,0.044987602,0.000826544,0.054416949,0.003626672,0.106759105
10025,94600,0.55,0.117938689,0.001321353,0.081479915,0.003361522,0.222093023
10026,34003,0.157103785,0.542510955,0.002617416,0.041966885,0.003823192,0.225097785
10027,59707,0.232317819,0.400355067,0.002863986,0.074848845,0.003550672,0.260857186
10028,45141,0.83744268,0.015484814,0.000509515,0.073215037,0.002436809,0.053720564
10029,76003,0.133139481,0.254516269,0.00180256,0.067063142,0.003920898,0.524439825
1003,10372,0.746143463,0.052834555,0.001060548,0.11444273,0.004531431,0.0510027
10030,26999,0.060594837,0.672580466,0.003703841,0.014407941,0.002666765,0.225489833
10031,56438,0.104893866,0.266026436,0.002392005,0.022892377,0.003667742,0.584428931
10032,57331,0.106818301,0.147878111,0.001744257,0.032495509,0.002930352,0.695679475
10033,53926,0.229518229,0.03623484,0.000890109,0.02071357,0.003838594,0.700348626
10034,38908,0.178497995,0.062609232,0.001233679,0.020998252,0.004009458,0.722113704
10035,33969,0.081515499,0.369218994,0.002266773,0.029821308,0.002443404,0.50042686
10036,24711,0.545789325,0.083970701,0.001901987,0.169762454,0.003965845,0.1702076
10037,17416,0.045992191,0.727836472,0.003330271,0.016593937,0.003559945,0.181672026
10038,20300,0.455812808,0.065369458,0.001231527,0.297389163,0.002857143,0.15408867
10039,24527,0.040078281,0.638357728,0.00293554,0.017001672,0.00232397,0.281771109
10040,41905,0.194034125,0.04696337,0.001049994,0.02474645,0.003460208,0.719580002
10044,11661,0.428779693,0.195609296,0.000857559,0.18180259,0.006517451,0.148872309
1005,5079,0.95136838,0.009450679,0.001968892,0.005119118,0.001378224,0.017523134
10065,32270,0.816114038,0.015990084,0.000526805,0.088627208,0.003315773,0.059466997
10069,5199,0.671475284,0.032698596,0.000384689,0.201192537,0.00288517,0.066743605
1007,14649,0.921837668,0.012970169,0.001228753,0.02075227,0.001979657,0.026281657
10075,26121,0.836606562,0.01860572,0.000535967,0.070096857,0.001914169,0.056238276
1008,1263,0.973079968,0.003167063,0.000791766,0.003167063,0,0.013460016
1009,741,0.955465587,0.005398111,0.001349528,0.004048583,0.005398111,0.020242915
1010,3609,0.948462178,0.007481297,0.002770851,0.004710446,0.000277085,0.02188972
10103,3,0.333333333,0.666666667,0,0,0,0
1011,1370,0.976642336,0,0,0.008029197,0,0.009489051
10110,0,0,0,0,0,0,0
10111,0,0,0,0,0,0,0
10112,0,0,0,0,0,0,0
10115,0,0,0,0,0,0,0
10119,92,0.22826087,0.630434783,0,0.032608696,0,0.108695652
1012,661,0.965204236,0.001512859,0.001512859,0.007564297,0,0.015128593
10128,60453,0.743982929,0.041354441,0.000612046,0.095280631,0.002464725,0.096438556
1013,23188,0.725677074,0.025746076,0.001509401,0.010220804,0.00254442,0.220415732
10152,0,0,0,0,0,0,0
10153,0,0,0,0,0,0,0
10154,0,0,0,0,0,0,0
10162,1685,0.85578635,0.010089021,0,0.056973294,0.002967359,0.054005935
10165,2,0,0,0,1,0,0
10167,0,0,0,0,0,0,0
10168,0,0,0,0,0,0,0
10169,0,0,0,0,0,0,0
10170,2,0,0.5,0,0.5,0,0
10171,0,0,0,0,0,0,0
10172,0,0,0,0,0,0,0
10173,2,0.5,0.5,0,0,0,0
10174,0,0,0,0,0,0,0
10177,0,0,0,0,0,0,0
10199,9,1,0,0,0,0,0
1020,29668,0.853276257,0.021167588,0.001584198,0.015268977,0.00111231,0.094984495
1022,2451,0.736434109,0.122399021,0.002039984,0.013055896,0.00122399,0.108935129
